Name,Accession,Start,Stop,Strand,GeneID,Locus,Locustag,Proteinproduct,Length,ProteinName
chromosome,NC_008596.1,46417,46701,-,,crgA,MSMEG_RS00125,WP_003891352.1,94,MULTISPECIES: cell division protein CrgA
chromosome,NC_008596.1,46797,47546,+,,,MSMEG_RS00130,WP_003891353.1,249,DUF881 domain-containing protein
chromosome,NC_008596.1,47564,48238,+,,,MSMEG_RS00135,WP_003891354.1,224,aminodeoxychorismate/anthranilate synthase component II
chromosome,NC_008596.1,48216,50093,-,,pknB,MSMEG_RS00140,WP_003891355.1,625,Stk1 family PASTA domain-containing Ser/Thr kinase
chromosome,NC_008596.1,50090,51349,-,,,MSMEG_RS00145,WP_011726617.1,419,protein kinase
chromosome,NC_008596.1,51381,52856,-,,pbpA,MSMEG_RS00150,WP_003891359.1,491,"D,D-transpeptidase PbpA"
chromosome,NC_008596.1,52853,54268,-,,,MSMEG_RS00155,WP_011726618.1,471,FtsW/RodA/SpoVE family cell cycle protein
chromosome,NC_008596.1,54265,55803,-,,,MSMEG_RS00160,WP_011726619.1,512,protein phosphatase 2C domain-containing protein
chromosome,NC_008596.1,55826,56293,-,,,MSMEG_RS00165,WP_011726620.1,155,MULTISPECIES: FHA domain-containing protein
chromosome,NC_008596.1,56429,57874,-,,,MSMEG_RS00170,WP_014876644.1,481,DUF3662 domain-containing protein
chromosome,NC_008596.1,58655,59029,-,,,MSMEG_RS00185,WP_011726623.1,124,DUF4267 domain-containing protein
chromosome,NC_008596.1,59041,59346,-,,,MSMEG_RS00190,WP_011726624.1,101,hypothetical protein
chromosome,NC_008596.1,59348,59824,-,,,MSMEG_RS00195,WP_011726625.1,158,DUF1772 domain-containing protein
chromosome,NC_008596.1,59900,60463,+,,,MSMEG_RS00200,WP_011726626.1,187,TetR/AcrR family transcriptional regulator
chromosome,NC_008596.1,60479,61252,-,,ygiD,MSMEG_RS00205,WP_029104467.1,257,"4,5-DOPA dioxygenase extradiol"
chromosome,NC_008596.1,61470,63548,+,,,MSMEG_RS00210,WP_011726628.1,692,hypothetical protein
chromosome,NC_008596.1,63545,66013,+,,,MSMEG_RS00215,WP_011726629.1,822,hypothetical protein
chromosome,NC_008596.1,66010,67167,+,,,MSMEG_RS00220,WP_003891374.1,385,hypothetical protein
chromosome,NC_008596.1,67182,68117,-,,,MSMEG_RS00225,WP_011726630.1,311,hypothetical protein
chromosome,NC_008596.1,68264,68767,+,,,MSMEG_RS00230,WP_011726631.1,167,PPOX class F420-dependent oxidoreductase
chromosome,NC_008596.1,68769,69734,-,,,MSMEG_RS00235,WP_011726632.1,321,pirin family protein
chromosome,NC_008596.1,69779,70045,+,,,MSMEG_RS00240,WP_003891378.1,88,DivIVA domain-containing protein
chromosome,NC_008596.1,70234,70527,-,,,MSMEG_RS00245,WP_011726633.1,97,WhiB family transcriptional regulator
chromosome,NC_008596.1,70911,71690,+,,,MSMEG_RS00250,WP_011726634.1,259,helix-turn-helix domain-containing protein
chromosome,NC_008596.1,71738,72823,+,,,MSMEG_RS00255,WP_003887303.1,361,MULTISPECIES: IS630-like element ISMsm2 family transposase
chromosome,NC_008596.1,72820,74208,-,,,MSMEG_RS00260,WP_011726635.1,462,MinD/ParA family protein
chromosome,NC_008596.1,74600,76177,+,,,MSMEG_RS00265,WP_011726636.1,525,type VII secretion system ESX-1 associated protein EspE
chromosome,NC_008596.1,76213,76530,+,,,MSMEG_RS00270,WP_003891383.1,105,ESX-1 secretion-associated protein
chromosome,NC_008596.1,76535,77383,+,,,MSMEG_RS00275,WP_003891384.1,282,ESX secretion-associated protein EspG
chromosome,NC_008596.1,77398,77925,+,,,MSMEG_RS00280,WP_011726637.1,175,hypothetical protein
chromosome,NC_008596.1,77918,79642,+,,eccA1,MSMEG_RS00285,WP_003891386.1,574,type VII secretion system ESX-1 AAA family ATPase EccA1
chromosome,NC_008596.1,79650,81089,+,,eccB,MSMEG_RS00290,WP_011726638.1,479,type VII secretion protein EccB
chromosome,NC_008596.1,81089,83317,+,,eccCa,MSMEG_RS00295,WP_003891388.1,742,type VII secretion protein EccCa
chromosome,NC_008596.1,83318,85099,+,,eccCb,MSMEG_RS00300,WP_011726639.1,593,type VII secretion protein EccCb
chromosome,NC_008596.1,85248,85541,+,,,MSMEG_RS00305,WP_003891390.1,97,PE family protein
chromosome,NC_008596.1,85589,86911,+,,,MSMEG_RS00310,WP_036463052.1,440,PPE family protein
chromosome,NC_008596.1,86997,87299,+,,,MSMEG_RS00315,WP_003891393.1,100,MULTISPECIES: WXG100 family type VII secretion target
chromosome,NC_008596.1,87331,87618,+,,,MSMEG_RS00320,WP_003891394.1,95,WXG100 family type VII secretion target
chromosome,NC_008596.1,87738,89162,+,,,MSMEG_RS00325,WP_011726641.1,474,AAA family ATPase
chromosome,NC_008596.1,89159,90691,+,,eccD,MSMEG_RS00330,WP_011726642.1,510,type VII secretion integral membrane protein EccD
chromosome,NC_008596.1,91119,91874,+,,,MSMEG_RS00335,WP_162139516.1,251,hypothetical protein
chromosome,NC_008596.1,92107,93072,+,,,MSMEG_RS00340,WP_162139517.1,321,hypothetical protein
chromosome,NC_008596.1,94608,95339,+,,,MSMEG_RS00345,WP_029104532.1,243,hypothetical protein
chromosome,NC_008596.1,96469,97935,+,,,MSMEG_RS00355,WP_011726646.1,488,IS1634-like element IS1549 family transposase
chromosome,NC_008596.1,99229,99585,+,,,MSMEG_RS00365,WP_011726647.1,118,hypothetical protein
chromosome,NC_008596.1,99798,101360,+,,espB,MSMEG_RS00370,WP_011726648.1,520,type VII secretion system ESX-1 target EspB
chromosome,NC_008596.1,101455,101763,+,,,MSMEG_RS00375,WP_130872788.1,102,hypothetical protein
chromosome,NC_008596.1,101776,102093,-,,,MSMEG_RS00380,WP_011726649.1,105,ESX-1 secretion-associated protein
chromosome,NC_008596.1,102127,102861,-,,,MSMEG_RS00385,WP_014876661.1,244,hypothetical protein
chromosome,NC_008596.1,102936,103682,-,,,MSMEG_RS00390,WP_011726651.1,248,hypothetical protein
chromosome,NC_008596.1,103713,104243,-,,,MSMEG_RS00395,WP_011726652.1,176,hypothetical protein
chromosome,NC_008596.1,104251,104583,-,,,MSMEG_RS00400,WP_003891413.1,110,YbaB/EbfC family nucleoid-associated protein
chromosome,NC_008596.1,104594,105988,-,,eccE,MSMEG_RS00405,WP_011726653.1,464,type VII secretion protein EccE
chromosome,NC_008596.1,105985,107334,-,,mycP1,MSMEG_RS00410,WP_011726654.1,449,type VII secretion system ESX-1 serine protease mycosin MycP1
chromosome,NC_008596.1,107565,107822,-,,,MSMEG_RS00415,WP_011726655.1,85,HPr family phosphocarrier protein
chromosome,NC_008596.1,107834,109849,-,,,MSMEG_RS00420,WP_011726656.1,671,fructose-specific PTS transporter subunit EIIC
chromosome,NC_008596.1,109846,110829,-,,,MSMEG_RS00425,WP_003891418.1,327,hexose kinase
chromosome,NC_008596.1,110826,111593,-,,,MSMEG_RS00430,WP_003891419.1,255,DeoR/GlpR family DNA-binding transcription regulator
chromosome,NC_008596.1,111636,113369,+,,,MSMEG_RS00435,WP_029104530.1,577,PEP-utilizing enzyme
chromosome,NC_008596.1,113433,114407,+,,,MSMEG_RS00440,WP_011726658.1,324,pirin family protein
chromosome,NC_008596.1,114447,116594,-,,,MSMEG_RS00445,WP_011726659.1,715,FUSC family protein
chromosome,NC_008596.1,116600,117184,-,,,MSMEG_RS00450,WP_014876664.1,194,TetR/AcrR family transcriptional regulator
chromosome,NC_008596.1,117306,117941,+,,,MSMEG_RS00455,WP_011726661.1,211,TetR/AcrR family transcriptional regulator
chromosome,NC_008596.1,118003,118965,+,,,MSMEG_RS00460,WP_003891425.1,320,class I SAM-dependent methyltransferase
chromosome,NC_008596.1,118962,119897,+,,,MSMEG_RS00465,WP_011726662.1,311,class I SAM-dependent methyltransferase
chromosome,NC_008596.1,119878,120057,-,,,MSMEG_RS00470,WP_011726663.1,59,hypothetical protein
chromosome,NC_008596.1,120252,121115,+,,,MSMEG_RS00475,WP_014876665.1,287,SDR family oxidoreductase
chromosome,NC_008596.1,121119,122084,+,,,MSMEG_RS00480,WP_011726665.1,321,NADPH:quinone oxidoreductase family protein
chromosome,NC_008596.1,122129,122818,+,,,MSMEG_RS00485,WP_175048406.1,229,methyltransferase domain-containing protein
chromosome,NC_008596.1,122829,123314,+,,,MSMEG_RS00490,WP_011726666.1,161,DUF456 domain-containing protein
chromosome,NC_008596.1,123311,123865,+,,,MSMEG_RS00495,WP_011726667.1,184,YceI family protein
chromosome,NC_008596.1,123837,124643,-,,,MSMEG_RS00500,WP_011726668.1,268,tyrosine-protein phosphatase
chromosome,NC_008596.1,124640,125866,-,,,MSMEG_RS00505,WP_014876667.1,408,acyl-CoA dehydrogenase family protein
chromosome,NC_008596.1,125900,127099,-,,,MSMEG_RS00510,WP_011726670.1,399,MFS transporter
chromosome,NC_008596.1,127143,128024,-,,,MSMEG_RS00515,WP_003891436.1,293,LysR family transcriptional regulator
chromosome,NC_008596.1,128084,128734,+,,,MSMEG_RS00520,WP_011726671.1,216,response regulator transcription factor
chromosome,NC_008596.1,128750,129916,+,,,MSMEG_RS00525,WP_003891438.1,388,ATP-binding protein
chromosome,NC_008596.1,129926,131527,-,,,MSMEG_RS00530,WP_011726672.1,533,LCP family protein
chromosome,NC_008596.1,131570,132709,-,,,MSMEG_RS00535,WP_003891441.1,379,acyl-CoA dehydrogenase family protein
chromosome,NC_008596.1,132711,134153,-,,pntB,MSMEG_RS00540,WP_003891442.1,480,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta
chromosome,NC_008596.1,134172,135713,-,,,MSMEG_RS00545,WP_011726673.1,513,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
chromosome,NC_008596.1,135783,136787,-,,,MSMEG_RS00550,WP_003891444.1,334,magnesium transporter CorA family protein
chromosome,NC_008596.1,136950,137810,+,,,MSMEG_RS00555,WP_011726675.1,286,ABC transporter permease
chromosome,NC_008596.1,137817,138845,+,,,MSMEG_RS00560,WP_011726676.1,342,ABC transporter substrate-binding protein
chromosome,NC_008596.1,138829,139626,+,,,MSMEG_RS00565,WP_003891448.1,265,ABC transporter ATP-binding protein
chromosome,NC_008596.1,139607,140287,-,,,MSMEG_RS00570,WP_003891449.1,226,haloacid dehalogenase type II
chromosome,NC_008596.1,140284,141147,-,,,MSMEG_RS00575,WP_011726677.1,287,alpha/beta hydrolase
chromosome,NC_008596.1,141232,141732,+,,,MSMEG_RS00580,WP_003891451.1,166,CGNR zinc finger domain-containing protein
chromosome,NC_008596.1,141740,141850,-,,,MSMEG_RS00585,WP_011726678.1,36,MULTISPECIES: hypothetical protein
chromosome,NC_008596.1,141969,142628,+,,,MSMEG_RS00590,WP_003891452.1,219,TetR/AcrR family transcriptional regulator
chromosome,NC_008596.1,142625,143398,+,,,MSMEG_RS00595,WP_011726679.1,257,SDR family oxidoreductase
chromosome,NC_008596.1,143535,144542,+,,,MSMEG_RS00600,WP_011726680.1,335,tripartite tricarboxylate transporter substrate binding protein
chromosome,NC_008596.1,144563,145048,+,,,MSMEG_RS00605,WP_228025533.1,161,tripartite tricarboxylate transporter TctB family protein
chromosome,NC_008596.1,145067,146593,+,,,MSMEG_RS00610,WP_011726682.1,508,tripartite tricarboxylate transporter permease
chromosome,NC_008596.1,146549,147232,-,,,MSMEG_RS00615,WP_011726683.1,227,FadR family transcriptional regulator
chromosome,NC_008596.1,147229,148347,-,,,MSMEG_RS00620,WP_011726684.1,372,mandelate racemase/muconate lactonizing enzyme family protein
chromosome,NC_008596.1,148387,149478,-,,,MSMEG_RS00625,WP_011726685.1,363,alcohol dehydrogenase catalytic domain-containing protein
chromosome,NC_008596.1,149514,149963,+,,,MSMEG_RS00630,WP_011726686.1,149,acyl-CoA thioesterase
chromosome,NC_008596.1,149981,150424,+,,,MSMEG_RS00635,WP_014876670.1,147,SRPBCC family protein
chromosome,NC_008596.1,150431,151123,-,,,MSMEG_RS00640,WP_011726687.1,230,GntR family transcriptional regulator
chromosome,NC_008596.1,151354,152907,+,,fadD5,MSMEG_RS00645,WP_234306348.1,517,fatty-acid--CoA ligase FadD5
chromosome,NC_008596.1,153100,153900,+,,,MSMEG_RS00650,WP_011726689.1,266,ABC transporter permease
chromosome,NC_008596.1,153902,154771,+,,,MSMEG_RS00655,WP_003891465.1,289,ABC transporter permease
chromosome,NC_008596.1,154776,156005,+,,,MSMEG_RS00660,WP_011726690.1,409,MCE family protein
chromosome,NC_008596.1,156002,157033,+,,,MSMEG_RS00665,WP_011726691.1,343,MCE family protein
chromosome,NC_008596.1,157030,158604,+,,,MSMEG_RS00670,WP_011726692.1,524,MCE family protein
chromosome,NC_008596.1,158623,160266,+,,,MSMEG_RS00675,WP_011726693.1,547,virulence factor Mce family protein
chromosome,NC_008596.1,160293,161438,+,,,MSMEG_RS00680,WP_003891470.1,381,virulence factor Mce family protein
chromosome,NC_008596.1,161440,162996,+,,,MSMEG_RS00685,WP_011726695.1,518,MCE family protein
chromosome,NC_008596.1,162966,163574,+,,,MSMEG_RS00690,WP_003891472.1,202,membrane protein
chromosome,NC_008596.1,163571,164539,+,,,MSMEG_RS00695,WP_011726696.1,322,RDD family protein
chromosome,NC_008596.1,164536,165084,+,,,MSMEG_RS00700,WP_011726697.1,182,hypothetical protein
chromosome,NC_008596.1,165051,165941,+,,,MSMEG_RS00705,WP_011726698.1,296,mammalian cell entry protein
chromosome,NC_008596.1,165944,166612,+,,,MSMEG_RS00710,WP_003891476.1,222,DUF1275 domain-containing protein
chromosome,NC_008596.1,166609,168387,-,,,MSMEG_RS00715,WP_181824998.1,592,HNH endonuclease
chromosome,NC_008596.1,168543,169361,-,,,MSMEG_RS00720,WP_011726700.1,272,MOSC domain-containing protein
chromosome,NC_008596.1,169419,170333,-,,,MSMEG_RS00725,WP_003891479.1,304,sterol desaturase family protein
chromosome,NC_008596.1,170367,171014,-,,,MSMEG_RS00730,WP_228025532.1,215,TetR/AcrR family transcriptional regulator
chromosome,NC_008596.1,171077,172504,-,,,MSMEG_RS00735,WP_011726702.1,475,phosphomethylpyrimidine synthase ThiC
chromosome,NC_008596.1,172501,173934,-,,,MSMEG_RS00740,WP_003891482.1,477,NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta
chromosome,NC_008596.1,173931,174254,-,,,MSMEG_RS00745,WP_003891483.1,107,NAD(P) transhydrogenase subunit alpha
chromosome,NC_008596.1,174258,175340,-,,,MSMEG_RS00750,WP_011726703.1,360,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
chromosome,NC_008596.1,175555,176568,+,,,MSMEG_RS00755,WP_003891485.1,337,2-dehydropantoate 2-reductase
chromosome,NC_008596.1,176579,178012,+,,pyk,MSMEG_RS00760,WP_011726704.1,477,pyruvate kinase
chromosome,NC_008596.1,178054,178524,-,,,MSMEG_RS00765,WP_011726705.1,156,PAS domain S-box protein
chromosome,NC_008596.1,178631,179557,+,,,MSMEG_RS00770,WP_003891488.1,308,LysR family transcriptional regulator
chromosome,NC_008596.1,179717,181450,+,,oxc,MSMEG_RS00775,WP_003891489.1,577,oxalyl-CoA decarboxylase
chromosome,NC_008596.1,181519,182781,+,,frc,MSMEG_RS00780,WP_011726706.1,420,formyl-CoA transferase
chromosome,NC_008596.1,182884,183369,+,,,MSMEG_RS00785,WP_011726707.1,161,formate dehydrogenase subunit gamma
chromosome,NC_008596.1,183366,184964,+,,,MSMEG_RS00790,WP_011726708.1,532,NADH-quinone oxidoreductase subunit NuoF
chromosome,NC_008596.1,184961,187780,+,,fdhF,MSMEG_RS00795,WP_011726709.1,939,formate dehydrogenase subunit alpha
chromosome,NC_008596.1,187782,188006,+,,,MSMEG_RS00800,WP_003891494.1,74,formate dehydrogenase subunit delta
chromosome,NC_008596.1,188070,188381,-,,,MSMEG_RS00805,WP_003891495.1,103,hypothetical protein
chromosome,NC_008596.1,188427,189770,-,,,MSMEG_RS00810,WP_011726710.1,447,OFA family MFS transporter
chromosome,NC_008596.1,189944,190786,+,,fdhD,MSMEG_RS00815,WP_003891497.1,280,formate dehydrogenase accessory sulfurtransferase FdhD
chromosome,NC_008596.1,190817,191545,-,,roxY,MSMEG_RS00820,WP_003891498.1,242,GntR family transcriptional regulator RoxY
chromosome,NC_008596.1,191746,193149,-,,,MSMEG_RS00825,WP_003891499.1,467,OFA family MFS transporter
chromosome,NC_008596.1,193685,194971,+,,frc,MSMEG_RS00830,WP_003891500.1,428,formyl-CoA transferase
chromosome,NC_008596.1,195185,196567,+,,,MSMEG_RS00835,WP_003891502.1,460,OFA family MFS transporter
chromosome,NC_008596.1,196658,197587,+,,,MSMEG_RS00840,WP_003891503.1,309,histone deacetylase family protein
chromosome,NC_008596.1,197588,198190,-,,,MSMEG_RS00845,WP_011726711.1,200,membrane protein
chromosome,NC_008596.1,198371,198682,-,,,MSMEG_RS00850,WP_036462867.1,103,DUF202 domain-containing protein
chromosome,NC_008596.1,198688,199059,-,,,MSMEG_RS00855,WP_003891506.1,123,DUF202 domain-containing protein
chromosome,NC_008596.1,199166,200293,+,,,MSMEG_RS00860,WP_228025531.1,375,FAD-dependent oxidoreductase
chromosome,NC_008596.1,200304,201158,+,,,MSMEG_RS00865,WP_011726714.1,284,ABC transporter substrate-binding protein
chromosome,NC_008596.1,201155,202087,+,,,MSMEG_RS00870,WP_014876687.1,310,amino acid ABC transporter permease
chromosome,NC_008596.1,202084,202866,+,,,MSMEG_RS00875,WP_011726716.1,260,amino acid ABC transporter ATP-binding protein
chromosome,NC_008596.1,202876,203547,-,,,MSMEG_RS00880,WP_011726717.1,223,GntR family transcriptional regulator
chromosome,NC_008596.1,203664,204173,-,,,MSMEG_RS00885,WP_011726718.1,169,TetR/AcrR family transcriptional regulator
chromosome,NC_008596.1,204225,205163,+,,,MSMEG_RS00890,WP_011726719.1,312,TauD/TfdA family dioxygenase
chromosome,NC_008596.1,205190,206347,+,,,MSMEG_RS00895,WP_011726720.1,385,epoxide hydrolase
chromosome,NC_008596.1,206365,208134,+,,,MSMEG_RS00900,WP_014876689.1,589,gamma-glutamyltransferase
chromosome,NC_008596.1,208033,208584,-,,,MSMEG_RS00905,WP_011726722.1,183,hypothetical protein
chromosome,NC_008596.1,208581,211424,-,,,MSMEG_RS00910,WP_014876690.1,947,RND family transporter
chromosome,NC_008596.1,211421,211915,-,,,MSMEG_RS00915,WP_011726724.1,164,MmpS family transport accessory protein
chromosome,NC_008596.1,212094,212558,+,,,MSMEG_RS00920,WP_014876691.1,154,MarR family transcriptional regulator
chromosome,NC_008596.1,212548,213006,-,,,MSMEG_RS00925,WP_014876692.1,152,GNAT family N-acetyltransferase
chromosome,NC_008596.1,212999,214153,-,,,MSMEG_RS00930,WP_234306374.1,384,anhydro-N-acetylmuramic acid kinase
chromosome,NC_008596.1,214183,215742,-,,,MSMEG_RS00935,WP_011726728.1,519,sodium:solute symporter
chromosome,NC_008596.1,215751,216731,-,,,MSMEG_RS00940,WP_014876694.1,326,hypothetical protein
chromosome,NC_008596.1,216912,217814,+,,,MSMEG_RS00945,WP_011726730.1,300,MurR/RpiR family transcriptional regulator
chromosome,NC_008596.1,217828,218724,+,,murQ,MSMEG_RS00950,WP_011726731.1,298,N-acetylmuramic acid 6-phosphate etherase
chromosome,NC_008596.1,218725,219363,-,,,MSMEG_RS00955,WP_174519559.1,212,cutinase family protein
chromosome,NC_008596.1,219598,221238,+,,,MSMEG_RS00960,WP_011726733.1,546,NAD(P)/FAD-dependent oxidoreductase
chromosome,NC_008596.1,221243,222139,+,,,MSMEG_RS00965,WP_011726734.1,298,TIGR03619 family F420-dependent LLM class oxidoreductase
chromosome,NC_008596.1,222149,222793,-,,,MSMEG_RS00970,WP_011726735.1,214,NUDIX hydrolase N-terminal domain-containing protein
chromosome,NC_008596.1,222803,223936,-,,,MSMEG_RS00975,WP_011726736.1,377,acyl-CoA dehydrogenase
chromosome,NC_008596.1,225286,227712,+,,,MSMEG_RS00985,WP_235280248.1,808,AAA family ATPase
chromosome,NC_008596.1,227950,229272,+,,,MSMEG_RS00990,WP_011726739.1,440,MULTISPECIES: ISL3-like element IS1096 family transposase
chromosome,NC_008596.1,229280,229981,-,,,MSMEG_RS00995,WP_011726740.1,233,MULTISPECIES: plasmid pRiA4b ORF-3 family protein
chromosome,NC_008596.1,230357,232255,+,,,MSMEG_RS01000,WP_228025530.1,632,hypothetical protein
chromosome,NC_008596.1,232344,232667,-,,,MSMEG_RS01005,WP_003891546.1,107,antibiotic biosynthesis monooxygenase
chromosome,NC_008596.1,232728,233168,+,,,MSMEG_RS01010,WP_011726742.1,146,MarR family transcriptional regulator
chromosome,NC_008596.1,233161,235239,-,,,MSMEG_RS01015,WP_228025668.1,692,SGNH hydrolase domain-containing protein
chromosome,NC_008596.1,235408,235785,+,,,MSMEG_RS01020,WP_011726744.1,125,ribonuclease
chromosome,NC_008596.1,235782,236060,+,,,MSMEG_RS01025,WP_003891550.1,92,barstar family protein
chromosome,NC_008596.1,236061,237149,-,,,MSMEG_RS01030,WP_011726745.1,362,phosphodiester glycosidase family protein
chromosome,NC_008596.1,237244,239607,-,,,MSMEG_RS01035,WP_011726746.1,787,excinuclease ABC subunit UvrA
chromosome,NC_008596.1,239607,240026,-,,,MSMEG_RS01040,WP_003891553.1,139,VOC family protein
chromosome,NC_008596.1,240031,240471,-,,,MSMEG_RS01045,WP_003891554.1,146,helix-turn-helix transcriptional regulator
chromosome,NC_008596.1,240488,241771,-,,,MSMEG_RS01050,WP_011726747.1,427,gluconolaconase
chromosome,NC_008596.1,241749,242465,-,,,MSMEG_RS01055,WP_003891556.1,238,pirin-like bicupin family protein
chromosome,NC_008596.1,242621,243397,+,,,MSMEG_RS01060,WP_003891557.1,258,SDR family oxidoreductase
chromosome,NC_008596.1,243477,244601,-,,,MSMEG_RS01065,WP_003891558.1,374,NDMA-dependent alcohol dehydrogenase
chromosome,NC_008596.1,244773,245267,+,,,MSMEG_RS01070,WP_011726749.1,164,VOC family protein
chromosome,NC_008596.1,245271,246293,-,,,MSMEG_RS01075,WP_011726750.1,340,sigma-70 family RNA polymerase sigma factor
chromosome,NC_008596.1,246357,247199,+,,,MSMEG_RS01080,WP_011726751.1,280,monoacylglycerol lipase
chromosome,NC_008596.1,247196,248173,+,,,MSMEG_RS01085,WP_029104120.1,325,hypothetical protein
chromosome,NC_008596.1,248214,248957,+,,,MSMEG_RS01090,WP_011726753.1,247,DUF2786 domain-containing protein
chromosome,NC_008596.1,248954,249436,+,,,MSMEG_RS01095,WP_011726754.1,160,TIGR04338 family metallohydrolase
chromosome,NC_008596.1,249456,250112,+,,,MSMEG_RS01100,WP_011726755.1,218,O-methyltransferase
chromosome,NC_008596.1,250120,253017,-,,,MSMEG_RS01105,WP_011726756.1,965,MMPL family transporter
chromosome,NC_008596.1,253014,253442,-,,,MSMEG_RS01110,WP_011726757.1,142,MmpS family protein
chromosome,NC_008596.1,253688,254257,+,,,MSMEG_RS01115,WP_011726758.1,189,TetR/AcrR family transcriptional regulator
chromosome,NC_008596.1,254330,257482,+,,,MSMEG_RS01120,WP_011726759.1,1050,adenylate/guanylate cyclase domain-containing protein
chromosome,NC_008596.1,257573,259288,-,,ilvD,MSMEG_RS01125,WP_011726760.1,571,dihydroxy-acid dehydratase
chromosome,NC_008596.1,259367,259672,+,,,MSMEG_RS01130,WP_011726761.1,101,metal-sensitive transcriptional regulator
chromosome,NC_008596.1,259691,259990,-,,,MSMEG_RS01135,WP_011726762.1,99,MTH1187 family thiamine-binding protein
chromosome,NC_008596.1,260053,261282,+,,,MSMEG_RS01140,WP_011726763.1,409,MFS transporter
chromosome,NC_008596.1,261440,262480,+,,,MSMEG_RS01145,WP_011726764.1,346,"L,D-transpeptidase"
chromosome,NC_008596.1,262543,264543,-,,,MSMEG_RS01150,WP_011726765.1,666,M13 family metallopeptidase
chromosome,NC_008596.1,264607,265227,+,,,MSMEG_RS01155,WP_011726766.1,206,hypothetical protein
chromosome,NC_008596.1,265224,265913,+,,,MSMEG_RS01160,WP_011726767.1,229,membrane protein
chromosome,NC_008596.1,266047,267453,+,,,MSMEG_RS01165,WP_011726768.1,468,IS1380-like element ISMsm3 family transposase
chromosome,NC_008596.1,267632,268102,-,,,MSMEG_RS01170,WP_003891579.1,156,CoA-binding protein
chromosome,NC_008596.1,268095,269390,-,,,MSMEG_RS01175,WP_011726769.1,431,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
chromosome,NC_008596.1,269466,270080,-,,,MSMEG_RS01180,WP_029104505.1,204,hypothetical protein
chromosome,NC_008596.1,270077,272941,-,,,MSMEG_RS01185,WP_011726771.1,954,MMPL family transporter
chromosome,NC_008596.1,273263,273844,+,,,MSMEG_RS01190,WP_011726772.1,193,hemophore
chromosome,NC_008596.1,274014,274394,+,,,MSMEG_RS01195,WP_003891584.1,126,heme-binding protein
